aa,Afar
aa,Ghotuo
ab,Alumu-Tesu
ac,Ari
ad,Amal
af,Aranadan
ag,Ambrak
ah,Abu' Arapesh
ai,Arifama-Miniafias
ak,Ankave
al,Afade
an,Anambé
ao,Algerian Saharan Arabic
ap,Pará Arára
aq,Penobscot
as,Aasax
au,Abau
av-khs-pro,Proto-Khasian
av-nic-pro,Proto-Nicobarese
av-pkl-pro,Proto-Pnar-Khasi-Lyngngam
av-pro,Proto-Austroasiatic
aw,Solong
ax,Mandobo Atas
az,Amarasi
b,Abkhaz
ba,Abé
bb,Bankon
bc,Ambala Ayta
bd,Camarines Norte Agta
be,Abenaki
bf,Abai Sungai
bg,Abaga
bh,Tajiki Arabic
bi,Abidji
bj,Aka-Bea
bl,Abung
bm,Abanyom
bn,Abua
bo,Abon
bp,Abenlen Ayta
bq,Abaza
br,Abron
bs,Ambonese Malay
bt,Ambulas
bu,Abure
bv,Baharna Arabic
bw,Pal
bx,Inabaknon
by,Aneme Wake
bz,Abui
ca,Achagua
cb,Áncá
cd,Gikyode
ce,Acehnese
ch,Acholi
ci,Aka-Cari
ck,Aka-Kora
cl,Akar-Bale
cm,Iraqi Arabic
cn,Achang
cp,Eastern Acipa
cq,Ta'izzi-Adeni Arabic
cr,Achi
cs,Acroá
cu,Achuar
cv,Achumawi
cw,Hijazi Arabic
cx,Omani Arabic
cy,Cypriot Arabic
cz,Acheron
da,Adangme
db,Adabe
dd,Dzodinka
de,Adele
df,Dhofari Arabic
dg,Andegerebinha
dh,Adhola
di,Adi
dj,Adioukrou
dl,Galo
dn,Adang
do,Abu
dp,Adap
dq,Adangbe
dr,Adonara
ds,Adamorobe Sign Language
dt,Adnyamathanha
du,Aduge
dw,Amondawa
dy,Adyghe
dz,Adzera
e,Avestan
ea,Areba
eb,Tunisian Arabic
ec,Saidi Arabic
ed,Argentine Sign Language
ee,Northeast Pashayi
ek,Haeke
el,Ambele
em,Arem
en,Armenian Sign Language
eq,Aer
er,Eastern Arrernte
es,Alsea
eu,Akeu
ew,Ambakich
ey,Amele
ez,Aeka
f,Afrikaans
fa-pro,Proto-Afroasiatic
fb,Gulf Arabic
fd,Andai
fe,Putukwam
fg,Afghan Sign Language
fh,Afrihili
fi,Akrukay
fk,Nanubae
fn,Defaka
fo,Eloyi
fp,Tapei
fs,Afro-Seminole Creole
ft,Afitti
fu,Awutu
